Tf	wirrc_sta	wirrc_tra	fidc_sta	fidc_tra	wirre_sta	wirre_tra	fide_sta	fide_tra
1.19	11.412	639.888162	0.99963301769	0.85321418886	9.6003274	502.6230224	0.99964276852	0.85234392735
1.2	11.032976	637.352955	0.99964321228	0.85299885829	9.3017562	500.1946512	0.99965027917	0.85247721936
1.21	10.664214	634.804075	0.99965317705	0.85282327858	9.0105922	497.7584168	0.99965766073	0.85264987655
1.22	10.305545	632.2417	0.99966292112	0.85267395186	8.7267282	495.3145448	0.99966488759	0.85285232993
1.23	9.956803	629.666008	0.99967243202	0.85257856304	8.450057	492.8632592	0.99967201868	0.853103405
1.24	9.617822	627.07718	0.99968171954	0.85252289595	8.1804706	490.4047864	0.9996790281	0.85339279344
1.25	9.288432	624.475398	0.99969078598	0.85250689535	7.917861	487.9393472	0.99968591844	0.85372010871
1.26	8.968467	621.860843	0.99969963371	0.85253048388	7.6621202	485.4671664	0.99969269231	0.85408494658
1.27	8.657758	619.233699	0.99970826505	0.85259356225	7.4131394	482.9884648	0.99969935234	0.8544868856
1.28	8.356139	616.59415	0.99971668239	0.85269600934	7.1708122	480.503464	0.99970590123	0.85492548757
1.29	8.06344	613.942382	0.99972488806	0.85283768236	6.9350282	478.012384	0.99971234171	0.85540029797
1.3	7.779495	611.278581	0.99973288449	0.85301841705	6.7056794	475.515444	0.99971867658	0.85591084644
1.31	7.504136	608.602935	0.99974067412	0.85323802779	6.482657	473.012864	0.99972490871	0.8564566472
1.32	7.237194	605.915631	0.99974825945	0.85349630783	6.2658506	470.50486	0.99973104108	0.85703719952
1.33	6.978501	603.216859	0.99975564311	0.85379302941	6.0551522	467.9916504	0.99973707679	0.85765198819
1.34	6.727891	600.506809	0.9997628279	0.85412794401	5.8504506	465.4734504	0.99974301909	0.85830048392
1.35	6.485196	597.785673	0.99976981681	0.85450078252	5.6516354	462.9504744	0.99974887138	0.85898214382
1.36	6.250248	595.053642	0.99977661311	0.85491125544	5.4585978	460.4229376	0.99975463725	0.85969641186
1.37	6.02288	592.310909	0.99978322034	0.85535905313	5.2712266	457.8910528	0.99976032047	0.86044271925
1.38	5.802925	589.557668	0.99978964355	0.8558465441	5.0894114	455.3550312	0.99976594282	0.86121918562
1.39	5.590215	586.794114	0.99979588509	0.85636732245	4.9130418	452.8150848	0.99977147196	0.86202721514
